"term","estimate","std.error","statistic","p.value","model"
"phoneme_length:frequency:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catdet",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catmod",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catneg",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catprep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catprep-adv",-322047950.835031,52274751.4807344,-6.16067875432597,1.04659647064323e-05,"multiplicative"
"phoneme_length:frequency:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:syn_catqn",-856995179.912625,138940507.815923,-6.16807289237798,1.03162521281e-05,"multiplicative"
"phoneme_length:frequency:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catadv",-112077.874844127,18191.0055959309,-6.16116982940172,1.04559522892492e-05,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catconj",-914037.356566567,147439.229412116,-6.1994176191174,9.70580955389067e-06,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catdet",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catmod",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catneg",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catprep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catprep-adv",-175300.946143724,27956.0184744638,-6.27059773564861,8.45452188188236e-06,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catqn",-47612.4279119164,7762.93029822663,-6.13330612060152,1.1040053548668e-05,"multiplicative"
"phoneme_length:mean_utterance_length:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catadv",1054059498.19063,170021078.961709,6.19958127914254,9.70272232689957e-06,"multiplicative"
"frequency:mean_utterance_length:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catconj",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catdet",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catmod",12914693.0966882,1973534.88401647,6.54393960871101,5.00805864235159e-06,"multiplicative"
"frequency:mean_utterance_length:syn_catneg",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catprep",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catprep-adv",202070684.593528,32642635.0694561,6.19039131380072,9.87766365404487e-06,"multiplicative"
"frequency:mean_utterance_length:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"frequency:mean_utterance_length:syn_catqn",-11455523.2904053,1932412.48663827,-5.92809421881449,1.65280634804617e-05,"multiplicative"
"frequency:mean_utterance_length:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catadv",1337.2108319577,218.365582963523,6.1237252400763,1.12486146537176e-05,"multiplicative"
"phoneme_length:Conc.M:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catconj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catdet",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catmod",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catneg",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catprep",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catprep-adv",565061.987517812,91846.1003571252,6.15226977869154,1.06389622072734e-05,"multiplicative"
"phoneme_length:Conc.M:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"phoneme_length:Conc.M:syn_catqn",1292611.46568697,208831.597199133,6.18973126204838,9.89035354146339e-06,"multiplicative"
"phoneme_length:Conc.M:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catadv",-7232430.5892547,922714.4817635,-7.83821077071644,4.81512511803502e-07,"multiplicative"
"frequency:Conc.M:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catconj",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catdet",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catmod",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catneg",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catprep",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catprep-adv",-186668239.797678,30261672.6422464,-6.16847065938721,1.03082614752569e-05,"multiplicative"
"frequency:Conc.M:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catqn",NA,NA,NA,NA,"multiplicative"
"frequency:Conc.M:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catadj-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catadv",-900.228777317149,125.938754278843,-7.14814738697464,1.63174642652424e-06,"multiplicative"
"mean_utterance_length:Conc.M:syn_catco-qn",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catconj",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catconj-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catconj-prep",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catconj-prep-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catconj-pro-int-rel",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catdet",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catdet-pro-comp",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catdet-pro-dem",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catmod",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catneg",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catprep",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catprep-adv",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catprep-inf",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catpro-indef",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catpro-indef-adj",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catpro-int-rel",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catqn",NA,NA,NA,NA,"multiplicative"
"mean_utterance_length:Conc.M:syn_catqn-adv",NA,NA,NA,NA,"multiplicative"
"phoneme_length:frequency:mean_utterance_length:Conc.M",-2505366.36919932,380779.726169753,-6.57956870340942,4.68113514510724e-06,"multiplicative"
